prefijo apollo1 apollo2 plataforma area inicio fin codcentral tecliente central
158600 *8432 *8132 HC6 0212 1586000800 1586009999 CCS POSPAGO TDMA Caracas
158601 *8452 *8152 HC6 0251 1586010000 1586019999 BTO POSPAGO TDMA Barquisimeto
158602 *8472 *8172 HC6 0276 1586020000 1586029999 SCR POSPAGO TDMA SanCristobal
158604 *8432 *8132 HC6 0212 1586040000 1586040999 CCS POSPAGO TDMA Caracas
158605 *8432 *8132 HC6 0212 1586050000 1586089999 CCS POSPAGO TDMA Caracas
158606 *8432 *8132 HC6 0212 1586050000 1586089999 CCS POSPAGO TDMA Caracas
158607 *8432 *8132 HC6 0212 1586050000 1586089999 CCS POSPAGO TDMA Caracas
158608 *8432 *8132 HC6 0212 1586050000 1586089999 CCS POSPAGO TDMA Caracas
158609 *8432 *8132 HC6 0212 1586090000 1586099999 CCS POSPAGO TDMA Caracas
158610 *8432 *8132 HC6 0212 1586101000 1586109999 CCS POSPAGO TDMA Caracas
158611 *8432 *8132 HC6 0212 1586110000 1586119999 CCS POSPAGO TDMA Caracas
158612 *8432 *8132 HC6 0212 1586120000 1586129999 CCS POSPAGO TDMA Caracas
158613 *8432 *8132 HC6 0212 1586130000 1586139999 CCS POSPAGO TDMA Caracas
158614 *8432 *8132 HC6 0212 1586140000 1586149999 CCS POSPAGO TDMA Caracas
158615 *8432 *8132 HC6 0212 1586150000 1586159999 CCS POSPAGO TDMA Caracas
158618 *8432 *8132 HC6 0212 1586180000 1586189999 CCS POSPAGO TDMA Caracas
158620 *8432 *8132 HC6 0212 1586200000 1586219999 CCS POSPAGO TDMA Caracas
158621 *8432 *8132 HC6 0212 1586200000 1586219999 CCS POSPAGO TDMA Caracas
158622 *8432 *8132 HC6 0212 1586220000 1586229999 CCS POSPAGO TDMA Caracas
158623 *8432 *8132 HC6 0212 1586230000 1586239999 CCS POSPAGO TDMA Caracas
158624 *8432 *8132 HC6 0212 1586240000 1586249999 CCS POSPAGO TDMA Caracas
158625 *8432 *8132 HC6 0212 1586250000 1586259999 CCS POSPAGO TDMA Caracas
158626 *8432 *8132 HC6 0212 1586260000 1586269999 CCS POSPAGO TDMA Caracas
158627 *8432 *8132 HC6 0212 1586270000 1586279999 CCS POSPAGO TDMA Caracas
158628 *8432 *8132 HC6 0212 1586280000 1586289999 CCS POSPAGO TDMA Caracas
158629 *8432 *8132 HC6 0212 1586290000 1586299999 CCS POSPAGO TDMA Caracas
158630 *8432 *8132 HC6 0212 1586300000 1586301999 CCS POSPAGO TDMA Caracas
158630 *8432 *8132 HC6 0212 1586302000 1586309999 CCS POSPAGO TDMA Caracas
158631 *8432 *8132 HC6 0212 1586310000 1586319999 CCS POSPAGO TDMA Caracas
158632 *8432 *8132 HC6 0212 1586320000 1586320299 CCS POSPAGO TDMA Caracas
158632 *8432 *8132 HC6 0212 1586320300 1586320399 CCS POSPAGO TDMA Caracas
158632 *8432 *8132 HC6 0212 1586321000 1586359999 CCS POSPAGO TDMA Caracas
158633 *8432 *8132 HC6 0212 1586321000 1586359999 CCS POSPAGO TDMA Caracas
158634 *8432 *8132 HC6 0212 1586321000 1586359999 CCS POSPAGO TDMA Caracas
158635 *8432 *8132 HC6 0212 1586321000 1586359999 CCS POSPAGO TDMA Caracas
158636 *8432 *8132 HC6 0212 1586360000 1586362999 CCS POSPAGO TDMA Caracas
158636 *8432 *8132 HC6 0212 1586363000 1586399999 CCS POSPAGO TDMA Caracas
158637 *8432 *8132 HC6 0212 1586363000 1586399999 CCS POSPAGO TDMA Caracas
158638 *8432 *8132 HC6 0212 1586363000 1586399999 CCS POSPAGO TDMA Caracas
158639 *8432 *8132 HC6 0212 1586363000 1586399999 CCS POSPAGO TDMA Caracas
158640 *8443 *8143 HC6 0241 1586400000 1586409999 VAL POSPAGO TDMA Valencia
158641 *8443 *8143 HC6 0241 1586410000 1586419999 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586420000 1586425099 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586425100 1586425999 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586426000 1586427999 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586428000 1586428399 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586428400 1586428499 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586428500 1586428999 VAL POSPAGO TDMA Valencia
158642 *8443 *8143 HC6 0241 1586429000 1586429999 VAL POSPAGO TDMA Valencia
158643 *8443 *8143 HC6 0243 1586430000 1586439999 VAL POSPAGO TDMA Maracay
158644 *8443 *8143 HC6 0241 1586440000 1586449999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586450000 1586451999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586452000 1586452299 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586452400 1586452599 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586452700 1586453399 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586453800 1586453999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586454000 1586454599 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586455000 1586455099 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586455100 1586455499 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586455500 1586455599 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586455600 1586455999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586456000 1586456099 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586456100 1586456899 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586456900 1586456999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586457000 1586457999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586458000 1586458999 VAL POSPAGO TDMA Valencia
158645 *8443 *8143 HC6 0241 1586459000 1586459999 VAL POSPAGO TDMA Valencia
158646 *8443 *8143 HC6 0243 1586460000 1586469999 VAL POSPAGO TDMA Maracay
158647 *8443 *8143 HC6 0241 1586470000 1586479599 VAL POSPAGO TDMA Valencia
158647 *8443 *8143 HC6 0241 1586479700 1586479799 VAL POSPAGO TDMA Valencia
158647 *8443 *8143 HC6 0241 1586479900 1586479999 VAL POSPAGO TDMA Valencia
158648 *8443 *8143 HC6 0241 1586480000 1586489999 VAL POSPAGO TDMA Valencia
158650 *8452 *8152 HC6 0251 1586500000 1586519999 BTO POSPAGO TDMA Barquisimeto
158651 *8452 *8152 HC6 0251 1586500000 1586519999 BTO POSPAGO TDMA Barquisimeto
158652 *8452 *8152 HC6 0251 1586520000 1586521199 BTO POSPAGO TDMA Barquisimeto
158652 *8452 *8152 HC6 0251 1586522000 1586522099 BTO POSPAGO TDMA Barquisimeto
158652 *8452 *8152 HC6 0251 1586522800 1586522999 BTO POSPAGO TDMA Barquisimeto
158652 *8452 *8152 HC6 0251 1586526000 1586526299 BTO POSPAGO TDMA Barquisimeto
158653 *8452 *8152 HC6 0251 1586530000 1586530299 BTO POSPAGO TDMA Barquisimeto
158654 *8452 *8152 HC6 0251 1586540000 1586542099 BTO POSPAGO TDMA Barquisimeto
158654 *8452 *8152 HC6 0251 1586543000 1586543099 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586550000 1586553199 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586554000 1586554099 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586554200 1586554299 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586554600 1586554699 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586554800 1586554899 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586555000 1586555099 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586556000 1586557299 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586557700 1586557799 BTO POSPAGO TDMA Barquisimeto
158655 *8452 *8152 HC6 0251 1586558000 1586558099 BTO POSPAGO TDMA Barquisimeto
158656 *8452 *8152 HC6 0251 1586560000 1586569299 BTO POSPAGO TDMA Barquisimeto
